ESTADO,PAN,PRI,PRD,PVEM,PT,MOVIMIENTO_CIUDADANO,MORENA,PH,PS,NULOS
1,100733,92384,12673,21841,7325,5884,16984,8370,10336,22053
2,223382,132934,29498,29380,27230,54013,99272,23066,47351,53973
3,99868,57332,13982,5219,11792,2225,15379,8196,9389,10533
4,121644,119236,13248,7641,4061,4682,47999,4163,7922,12425
5,215141,412323,23204,38816,11589,17828,45647,16914,25098,29868
6,101159,87607,50659,11143,7095,12422,6109,3987,3733,8692
7,60750,348486,82905,677598,42006,27249,93555,17762,21988,87328
8,210070,290292,25716,41071,19257,27267,53401,16762,27913,50075
9,447480,375682,643299,159241,55545,143597,771661,100421,197515,239265
10,86936,223327,21622,19830,29937,28711,26085,9163,10404,20989
11,752582,420855,117016,187146,25550,52524,62285,48535,46998,74705
12,76783,436363,379764,73739,58584,104715,52549,24324,18557,73334
13,111534,299927,85936,43888,18309,13868,63625,16940,83660,42619
14,563087,799242,105930,105663,55707,855046,85097,57713,81220,90068
15,927722,1783405,774433,167877,178944,246507,579208,152186,265574,245533
16,310003,489298,440817,90826,69738,73770,84936,27859,33085,87937
17,77290,142847,110689,60185,34367,55048,68766,58355,37852,49275
18,61422,128860,52486,12430,9111,10531,14812,3438,4794,13836
19,698304,577307,40932,102312,59718,249826,53121,59529,82578,57581
20,100586,296442,206500,42004,23700,28427,137968,12391,42197,56696
21,495098,504552,84965,62426,47128,52452,159753,32790,46814,97455
22,319622,243290,26105,41092,8021,17159,44708,21839,21961,41184
23,41397,126606,32092,39332,13602,21270,55134,10541,13953,22326
24,287665,269814,158511,67335,33039,38030,43430,16298,20949,69614
25,163634,278541,31497,29250,24513,11946,33797,12411,10185,35821
26,383840,391850,33794,22988,13518,37496,38004,7725,15525,34050
27,42395,242629,254661,123885,27779,26432,118839,7538,14180,34528
28,273596,484984,29658,51278,12872,77601,40188,12863,36841,43153
29,51082,94938,31194,14367,32549,10881,44083,4506,8840,18514
30,550812,706409,280318,176385,77400,100778,317037,45751,59013,129402
31,363173,447466,48528,27891,5681,16678,36266,5158,6959,25492
32,60712,165567,67475,36315,63177,7060,36651,9409,11960,22557
